-0.530027, 0.000000, 0.000000, 0.085789, 0.009035, 0.610394, 0.064322, 0.037822, 0.062355, 0.101146, 0.074335, 0.531542, 0.098330, 0.233551, 0.449482, 0.168596, 0.302361, 0.244433, 0.300249, 0.120354, 0.000000, 0.000000, 0.024380, 0.108052
-0.549037, 0.000000, 0.166667, 0.103779, 0.009873, 0.676045, 0.063397, 0.037247, 0.065132, 0.112986, 0.077573, 0.587732, 0.105613, 0.254119, 0.479638, 0.215638, 0.326058, 0.247109, 0.300249, 0.114133, 0.000000, 0.000000, 0.025163, 0.100245
-0.648283, 0.000000, 0.333333, 0.100932, 0.012383, 0.624523, 0.073114, 0.039217, 0.068243, 0.453335, 0.080762, 0.605700, 0.109558, 0.308007, 0.535542, 0.206251, 0.378575, 0.248447, 0.300249, 0.108073, 0.000000, 0.000000, 0.019567, 0.115200
-0.570909, 0.000000, 0.666667, 0.099054, 0.013819, 0.657289, 0.107820, 0.041740, 0.078856, 0.109497, 0.085364, 0.750183, 0.119180, 0.361546, 0.686119, 0.289135, 0.556748, 0.251123, 0.300249, 0.094952, 0.000000, 0.000000, 0.022712, 0.131215
-0.582875, 0.000000, 1.000000, 0.088975, 0.012434, 0.542324, 0.115224, 0.038992, 0.095532, 0.126072, 0.091827, 0.888737, 0.125198, 0.426975, 0.648606, 0.317537, 0.660668, 0.257814, 0.300249, 0.074049, 0.000000, 0.000000, 0.019440, 0.158271
-0.820020, 0.010204, 0.000000, 0.053536, 0.021680, 0.598180, 0.195743, 0.003855, 0.054514, 0.087546, 0.060448, 0.393149, 0.087131, 0.199846, 0.368764, 0.198304, 0.220846, 0.090281, 0.105173, 0.117092, 0.000000, 0.000000, 0.013425, 0.002449
-0.787025, 0.010204, 0.166667, 0.038420, 0.019056, 0.430698, 0.068950, 0.007010, 0.053716, 0.105162, 0.062901, 0.437840, 0.095151, 0.212726, 0.382484, 0.536162, 0.247617, 0.092070, 0.105173, 0.114583, 0.000000, 0.000000, 0.011221, 0.202336
-0.835362, 0.010204, 0.333333, 0.045617, 0.025988, 0.546452, 0.206849, 0.005701, 0.056653, 0.191183, 0.063012, 0.483493, 0.099871, 0.247349, 0.371479, 0.255694, 0.264900, 0.093412, 0.105173, 0.112087, 0.000000, 0.000000, 0.014300, 0.047026
-0.853719, 0.010204, 0.500000, 0.050596, 0.022131, 0.662841, 0.175382, 0.004283, 0.067935, 0.103482, 0.065319, 0.514146, 0.104241, 0.281439, 0.353613, 0.306763, 0.349488, 0.094755, 0.105173, 0.109998, 0.000000, 0.000000, 0.014144, 0.067258
-0.861914, 0.010204, 0.833333, 0.036135, 0.026229, 0.460545, 0.083758, 0.006199, 0.077878, 0.102204, 0.074038, 0.508431, 0.104043, 0.325768, 0.482762, 0.431223, 0.515189, 0.096992, 0.105173, 0.101222, 0.000000, 0.000000, 0.012311, 0.116605
